[线程] CPU 20 核 → 分配 18 线程 (预留 2)
==== RNN 2D Heisenberg: 3×3 triangular (9 sites, M=1), 模式=mc, dh=32 ====
bonds 数: 27
ED 参考 (已知): E0=-5.250000  E/site=-0.583333
  it 0: E/site=-0.028048
  it 200: E/site=-0.261732
  it 400: E/site=-0.374416
  it 600: E/site=-0.409577
  it 800: E/site=-0.451544
  it 1000: E/site=-0.495084
  it 1200: E/site=-0.503922
  it 1400: E/site=-0.504726
  it 1600: E/site=-0.505721
  it 1800: E/site=-0.519748
  it 2000: E/site=-0.531918
  it 2200: E/site=-0.533052
  it 2400: E/site=-0.547875
  it 2600: E/site=-0.545950
  it 2800: E/site=-0.548103
  it 3000: E/site=-0.552169
  it 3200: E/site=-0.550172
  it 3400: E/site=-0.553170
  it 3600: E/site=-0.557957
  it 3800: E/site=-0.559512
  it 3999: E/site=-0.557066

RNN E0=-5.013592  E/site=-0.557066
ED   E0=-5.250000  E/site=-0.583333  (差 0.23641, 4.503%)
